Serial_No,Order_ID,Order_Date,Region,Customer_ID,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
23,ORD00023,23-07-2024,West,,Home Office,Furniture,Tablet,3,799,0.15,2037.45,564.38
24,ORD00024,20-06-2025,North,,Corporate,Office Supplies,Headphones,3,499,0.15,1272.45,199.93
25,ORD00025,14-08-2024,WEST,,Consumer,Furniture,Phone,6,99,0.05,564.3,90.71
26,ORD00026,31-05-2025,East,,Corporate,Furniture,Desk,10,199,,1990,543.85
27,ORD00027,08-12-2024,WEST,,Corporate,Office Supplies,Phone,9,799,0,7191,901.77
28,ORD00028,23-01-2025,West,,Consumer,Electronics,Headphones,7,,0.05,6643.35,1085.93
29,ORD00029,20-06-2024,north,,Corporate,Electronics,Laptop,3,299,0,897,161.48
30,ORD00030,21-12-2025,South,,Consumer,Electronics,Monitor,6,299,,1794,391.23
31,ORD00031,05-12-2025,East,,Home Office,Furniture,Laptop,10,299,0.1,2691,573.59
32,ORD00032,27-04-2025,north,,Consumer,Electronics,Laptop,4,199,0.15,676.6,174.81
33,ORD00033,22-06-2025,north,CUST1967,Consumer,Furniture,Monitor,4,99,0,396,92.82
34,ORD00034,05-06-2024,WEST,,Corporate,Electronics,Desk,8,499,0,3992,776.68
35,ORD00035,29-08-2024,South,,Corporate,Furniture,Phone,4,799,0.1,2876.4,250.06
36,ORD00036,18-01-2025,South,,Consumer,Furniture,Tablet,9,299,0.05,2556.45,534.93
37,ORD00037,23-07-2024,WEST,CUST2543,Consumer,Office Supplies,Laptop,4,299,0.1,1076.4,133.58
38,ORD00038,12-11-2025,WEST,CUST2494,Consumer,Office Supplies,Tablet,10,149,0.1,1341,85.28
39,ORD00039,20-08-2024,South,,Consumer,Furniture,Laptop,3,,0.15,762.45,103.11
40,ORD00040,26-10-2025,north,,Home Office,Electronics,Desk,8,299,0,2392,243.97
41,ORD00041,02-12-2025,WEST,CUST2050,Home Office,Office Supplies,Printer,7,99,0,693,107.01
42,ORD00042,29-11-2025,West,,Home Office,Furniture,Desk,4,299,0.1,1076.4,168.39
43,ORD00043,20-02-2025,East,,Consumer,Electronics,Chair,7,499,0.15,2969.05,628.97
44,ORD00044,19-06-2025,East,CUST1967,Home Office,Furniture,Headphones,7,499,0.15,2969.05,449.58
45,ORD00045,23-04-2025,West,,Home Office,Electronics,Desk,2,799,,1598,179.21
46,ORD00046,24-07-2024,West,CUST2742,Corporate,Office Supplies,Desk,7,199,0,1393,341.59
47,ORD00047,17-04-2025,North,,Corporate,Office Supplies,Desk,2,199,0.1,358.2,29.01
48,ORD00048,14-05-2024,north,CUST1153,Consumer,Furniture,Chair,1,799,0.1,719.1,174.44
49,ORD00049,27-06-2025,West,CUST1448,Corporate,Electronics,Laptop,4,149,0,596,137.66
50,ORD00050,26-06-2024,north,,Home Office,Furniture,Monitor,3,149,0,447,126.9
51,ORD00051,09-10-2024,North,,Consumer,Office Supplies,Laptop,7,799,0.05,5313.35,1267.32
52,ORD00052,08-01-2024,WEST,,Consumer,Furniture,Laptop,10,149,0.15,1266.5,344.26
53,ORD00053,18-02-2024,East,,Home Office,Electronics,Printer,5,199,0.15,845.75,58.46
54,ORD00054,26-01-2024,North,,Home Office,Electronics,Headphones,1,149,0,149,43.24
55,ORD00055,23-11-2025,South,CUST2130,Home Office,Electronics,Headphones,4,799,0,3196,234.62
56,ORD00056,02-11-2024,East,CUST1602,Home Office,Electronics,Headphones,10,499,0.05,4740.5,1248.14
57,ORD00057,17-09-2024,East,CUST1750,Consumer,Electronics,Monitor,9,149,0.15,1139.85,99.23
58,ORD00058,12-06-2025,North,CUST2710,Home Office,Electronics,Monitor,9,799,0,7191,1170.67
59,ORD00059,31-05-2024,South,CUST1982,Consumer,Furniture,Laptop,2,199,0.1,358.2,95.47
60,ORD00060,02-11-2025,South,,Corporate,Furniture,Desk,4,199,0.15,676.6,158.85
61,ORD00061,13-07-2024,WEST,,Corporate,Office Supplies,Laptop,8,499,0.15,3393.2,470.52
62,ORD00062,31-01-2025,East,CUST2633,Home Office,Office Supplies,Monitor,3,,0.05,852.15,155.59
63,ORD00063,15-07-2025,East,,Home Office,Electronics,Headphones,6,299,0,1794,129.87
64,ORD00064,13-10-2025,WEST,,Corporate,Electronics,Headphones,4,299,0,1196,148.12
65,ORD00065,07-09-2025,South,CUST2435,Corporate,Furniture,Headphones,5,199,0.1,895.5,238.32
66,ORD00066,20-12-2024,South,CUST1084,Consumer,Furniture,Headphones,4,299,0.05,1136.2,76.37
67,ORD00067,30-01-2025,north,,Home Office,Office Supplies,Monitor,2,149,0.1,268.2,31.14
68,ORD00068,25-09-2025,West,,Consumer,Electronics,Phone,7,799,0.15,4754.05,333.47
69,ORD00069,20-06-2024,East,CUST1430,Corporate,Electronics,Monitor,,149,,447,110.45
70,ORD00070,24-11-2025,West,,Home Office,Furniture,Monitor,3,799,0,2397,574.48
71,ORD00071,18-06-2025,WEST,,Corporate,Electronics,Tablet,3,499,0.1,1347.3,402.42
72,ORD00072,04-11-2025,North,,Home Office,Office Supplies,Chair,6,299,0.05,1704.3,477.85
73,ORD00073,20-04-2025,West,,Corporate,Office Supplies,Chair,6,799,0.1,4314.6,724.78
74,ORD00074,20-05-2024,WEST,,Consumer,Furniture,Laptop,10,999,0,9990,873.92
75,ORD00075,25-04-2025,West,,Consumer,Office Supplies,Monitor,6,499,0.15,2544.9,677.58
76,ORD00076,25-03-2025,West,,Home Office,Furniture,Tablet,5,999,0.05,4745.25,1029.88
77,ORD00077,26-07-2025,West,CUST1985,Corporate,Office Supplies,Headphones,10,499,0,4990,1062.59
78,ORD00078,29-09-2025,North,,Home Office,Furniture,Headphones,10,999,0.15,8491.5,1569.7
79,ORD00079,09-02-2025,West,CUST1009,Consumer,Furniture,Phone,6,799,,4794,255.56
80,ORD00080,18-04-2025,north,,Home Office,Furniture,Headphones,2,199,0.15,338.3,29.47
81,ORD00081,01-06-2024,WEST,CUST2015,Consumer,Furniture,Headphones,5,,0.05,4745.25,1019.62
82,ORD00082,03-01-2025,North,,Corporate,Furniture,Chair,3,799,0.05,2277.15,466.47
83,ORD00083,04-12-2024,WEST,CUST2723,Consumer,Electronics,Printer,9,799,0.05,6831.45,817.56
84,ORD00084,29-08-2024,North,,Corporate,Furniture,Desk,3,999,0.1,2697.3,209.48
85,ORD00085,02-05-2025,West,,Consumer,Office Supplies,Printer,3,499,0.15,1272.45,267.08
86,ORD00086,16-03-2025,West,CUST1620,Home Office,Furniture,Tablet,9,149,0.05,1273.95,100.24
87,ORD00087,19-03-2024,East,,Home Office,Office Supplies,Phone,1,799,0.15,679.15,47.94
88,ORD00088,21-07-2025,WEST,CUST1262,Home Office,Electronics,Phone,7,499,0,3493,1030.07
89,ORD00089,13-09-2025,north,,Home Office,Office Supplies,Phone,9,999,0.15,7642.35,1676.51
90,ORD00090,26-07-2024,WEST,,Corporate,Office Supplies,Monitor,2,799,0.1,1438.2,316.82
91,ORD00091,01-01-2025,East,CUST2232,Corporate,Office Supplies,Phone,2,499,,998,112.44
92,ORD00092,03-01-2024,North,CUST1742,Corporate,Office Supplies,Chair,5,149,,745,172.5
93,ORD00093,18-10-2025,WEST,CUST1719,Corporate,Electronics,Printer,1,299,0.15,254.15,42.81
94,ORD00094,17-02-2024,West,,Corporate,Furniture,Headphones,4,799,0,3196,715.21
95,ORD00095,08-02-2024,West,CUST2860,Corporate,Office Supplies,Tablet,3,999,0.1,2697.3,711.29
96,ORD00096,24-06-2025,South,,Consumer,Office Supplies,Desk,7,999,0,6993,549.12
97,ORD00097,10-03-2025,North,,Home Office,Office Supplies,Desk,6,799,0.15,4074.9,1091.17
98,ORD00098,09-10-2024,WEST,CUST1536,Corporate,Electronics,Printer,5,299,0,1495,434.37
99,ORD00099,04-10-2025,north,,Corporate,Office Supplies,Printer,7,199,,1393,250.98
100,ORD00100,16-05-2024,WEST,,Corporate,Office Supplies,Laptop,7,299,0.15,1779.05,292.41
101,ORD00101,10-08-2024,North,CUST1100,Consumer,Furniture,Printer,7,99,0.15,589.05,51.03
102,ORD00102,23-03-2024,West,,Corporate,Electronics,Phone,5,99,0,495,92.72
103,ORD00103,15-12-2024,South,,Consumer,Furniture,Phone,6,149,0,894,168.71
104,ORD00104,10-10-2025,WEST,,Corporate,Electronics,Desk,9,499,,4491,428.89
105,ORD00105,10-06-2024,WEST,,Consumer,Office Supplies,Headphones,5,199,0.05,945.25,112.98
106,ORD00106,23-08-2024,north,,Corporate,Electronics,Printer,10,999,0.1,8991,2330.72
107,ORD00107,01-02-2024,North,,Consumer,Electronics,Printer,7,299,0.15,1779.05,427.69
108,ORD00108,13-10-2024,north,,Home Office,Office Supplies,Headphones,10,999,0.15,8491.5,682.48
109,ORD00109,15-09-2024,north,CUST2269,Home Office,Electronics,Laptop,4,149,,596,67.14
110,ORD00110,27-03-2025,West,,Consumer,Electronics,Tablet,2,199,0.15,338.3,65.87
111,ORD00111,08-07-2024,West,,Home Office,Electronics,Headphones,8,299,,2392,165.8
112,ORD00112,22-01-2025,WEST,,Home Office,Furniture,Printer,7,99,,693,194.72
113,ORD00113,02-12-2024,South,,Home Office,Electronics,Laptop,7,99,0.15,589.05,111.13
114,ORD00114,24-01-2024,WEST,,Home Office,Furniture,Desk,1,799,,799,176.26
115,ORD00115,08-12-2025,South,CUST1099,Home Office,Electronics,Chair,8,99,0,792,110.93
116,ORD00116,06-11-2025,South,,Consumer,Office Supplies,Printer,,999,0.1,7192.8,1794.99
117,ORD00117,17-06-2025,East,,Consumer,Office Supplies,Phone,3,199,0,597,169.66
118,ORD00118,25-05-2025,East,CUST2518,Consumer,Furniture,Chair,4,149,0,596,174.73
119,ORD00119,24-12-2024,North,,Consumer,Electronics,Monitor,5,199,0,995,196.35
120,ORD00120,07-03-2024,South,,Corporate,Electronics,Desk,10,149,0.05,1415.5,138.86
121,ORD00121,23-01-2024,WEST,,Consumer,Office Supplies,Tablet,,99,0,990,172.6
122,ORD00122,16-01-2025,East,,Home Office,Furniture,Headphones,1,999,0.15,849.15,222.38
123,ORD00123,10-06-2025,north,,Home Office,Electronics,Tablet,3,999,0.05,2847.15,741.73
124,ORD00124,24-04-2025,West,CUST2722,Consumer,Electronics,Printer,3,299,0.1,807.3,132.27
125,ORD00125,13-09-2024,North,,Home Office,Furniture,Tablet,7,999,0.15,5944.05,1713.96
126,ORD00126,25-05-2024,north,,Home Office,Office Supplies,Headphones,2,299,0.05,568.1,100.67
127,ORD00127,03-08-2024,West,,Home Office,Office Supplies,Monitor,3,299,0.05,852.15,195.89
128,ORD00128,20-12-2024,north,,Home Office,Office Supplies,Printer,7,199,0,1393,336.54
129,ORD00129,08-01-2024,north,,Home Office,Office Supplies,Chair,10,199,,1990,381.5
130,ORD00130,10-01-2024,WEST,,Corporate,Furniture,Laptop,4,299,0,1196,62.3
131,ORD00131,28-02-2024,West,,Corporate,Furniture,Chair,3,149,,447,132.09
132,ORD00132,08-12-2024,north,CUST2381,Corporate,Furniture,Printer,2,999,0.15,1698.3,255.73
133,ORD00133,14-03-2024,north,,Consumer,Furniture,Phone,7,99,,693,152.05
134,ORD00134,12-04-2024,North,,Consumer,Electronics,Monitor,10,799,0.1,7191,1074.47
135,ORD00135,22-12-2024,north,CUST1576,Home Office,Office Supplies,Headphones,7,999,0,6993,2041.28
136,ORD00136,31-10-2025,north,,Corporate,Electronics,Chair,10,99,0,990,105.74
137,ORD00137,05-07-2025,north,,Corporate,Furniture,Tablet,7,199,0.15,1184.05,65.8
138,ORD00138,16-06-2025,East,CUST2218,Home Office,Furniture,Laptop,10,999,0.15,8491.5,735.49
139,ORD00139,26-07-2025,North,CUST1041,Consumer,Office Supplies,Chair,5,299,0.15,1270.75,277.61
140,ORD00140,08-08-2025,WEST,CUST1868,Corporate,Office Supplies,Laptop,6,299,,1794,309.23
141,ORD00141,18-01-2024,West,CUST1942,Home Office,Office Supplies,Headphones,8,799,0.05,6072.4,649.64
142,ORD00142,05-09-2025,north,,Corporate,Furniture,Tablet,5,149,0.05,707.75,137.41
143,ORD00143,30-06-2024,South,,Consumer,Furniture,Chair,5,99,0.05,470.25,80.81
144,ORD00144,17-01-2025,South,,Corporate,Office Supplies,Desk,3,,0,447,23.17
145,ORD00145,03-08-2024,north,CUST1332,Corporate,Office Supplies,Desk,2,99,0,198,33.84
146,ORD00146,26-01-2024,East,CUST2685,Corporate,Office Supplies,Phone,5,799,0,3995,1032.25
147,ORD00147,03-07-2025,North,,Home Office,Electronics,Phone,6,299,,1794,181.46
148,ORD00148,13-05-2024,East,,Consumer,Furniture,Monitor,3,99,0.05,282.15,51.22
149,ORD00149,21-12-2024,West,,Corporate,Office Supplies,Tablet,1,499,0,499,72.75
150,ORD00150,17-05-2025,South,CUST1021,Home Office,Office Supplies,Phone,3,499,,1497,300.26
151,ORD00151,04-10-2024,North,,Consumer,Furniture,Headphones,5,499,0.15,2120.75,380.71
152,ORD00152,23-07-2025,East,,Corporate,Furniture,Tablet,8,499,0.1,3592.8,573.32
153,ORD00153,25-11-2024,WEST,,Home Office,Furniture,Tablet,2,99,0.1,178.2,42.87
154,ORD00154,21-10-2024,West,,Consumer,Electronics,Printer,7,499,0.15,2969.05,774.76
155,ORD00155,11-01-2024,north,,Corporate,Electronics,Laptop,6,299,0.15,1524.9,82.34
156,ORD00156,14-08-2024,north,,Home Office,Furniture,Headphones,2,199,0.1,358.2,49.81
157,ORD00157,14-10-2024,North,CUST2524,Corporate,Electronics,Chair,3,199,0,597,66.6
158,ORD00158,21-12-2025,West,CUST2217,Corporate,Electronics,Chair,6,499,0.1,2694.6,581.73
159,ORD00159,06-03-2025,WEST,,Corporate,Office Supplies,Monitor,3,149,0.05,424.65,91.04
160,ORD00160,30-10-2024,East,,Corporate,Electronics,Phone,6,99,0.15,504.9,102.07
161,ORD00161,10-01-2025,WEST,,Corporate,Electronics,Monitor,9,199,,1791,418.73
162,ORD00162,03-10-2024,West,,Home Office,Furniture,Monitor,1,99,,99,26.76
163,ORD00163,02-02-2025,South,CUST1927,Home Office,Office Supplies,Chair,4,199,0,796,67.03
164,ORD00164,16-12-2025,north,,Corporate,Office Supplies,Headphones,2,799,,1598,141.55
165,ORD00165,21-08-2025,West,CUST1091,Corporate,Office Supplies,Tablet,1,149,0.05,141.55,23.94
166,ORD00166,06-06-2024,North,,Corporate,Furniture,Laptop,2,99,0.15,168.3,49.5
167,ORD00167,04-01-2024,East,CUST2395,Home Office,Electronics,Laptop,4,799,,3196,363.33
168,ORD00168,12-01-2024,North,CUST2133,Consumer,Furniture,Laptop,5,149,0.05,707.75,66.99
169,ORD00169,11-07-2025,South,,Home Office,Electronics,Phone,3,199,0.05,567.15,91.9
170,ORD00170,19-10-2024,North,CUST2730,Corporate,Electronics,Tablet,6,499,0.1,2694.6,547.21
171,ORD00171,18-09-2024,WEST,,Home Office,Office Supplies,Laptop,8,499,0.15,3393.2,837.27
172,ORD00172,21-05-2025,East,,Consumer,Electronics,Desk,10,199,0.05,1890.5,480.2
173,ORD00173,15-11-2025,West,,Home Office,Electronics,Desk,3,999,0.05,2847.15,601.64
174,ORD00174,03-08-2024,East,,Home Office,Furniture,Printer,8,999,0.05,7592.4,1646.25
175,ORD00175,25-07-2024,north,,Consumer,Furniture,Tablet,1,499,0.15,424.15,116.13
176,ORD00176,23-08-2024,north,,Consumer,Office Supplies,Phone,9,99,0,891,177.53
177,ORD00177,18-11-2025,East,,Home Office,Office Supplies,Chair,9,799,0.1,6471.9,1152.77
178,ORD00178,29-09-2024,North,CUST2919,Corporate,Furniture,Desk,8,499,0.1,3592.8,502.52
179,ORD00179,15-08-2024,north,,Home Office,Office Supplies,Laptop,1,99,0,99,19.43
180,ORD00180,04-07-2025,East,CUST1103,Consumer,Electronics,Headphones,10,299,0.1,2691,546.1
181,ORD00181,17-12-2025,North,CUST1831,Corporate,Furniture,Tablet,4,999,,3996,1074.1
182,ORD00182,01-04-2025,West,,Home Office,Electronics,Headphones,10,299,0.05,2840.5,843.55
183,ORD00183,29-05-2024,north,,Corporate,Electronics,Chair,7,499,0.1,3143.7,223.8
184,ORD00184,12-10-2025,North,,Home Office,Office Supplies,Tablet,3,299,0,897,216.11
185,ORD00185,29-01-2025,South,CUST2303,Home Office,Electronics,Phone,7,,0,5593,1012.6
186,ORD00186,31-07-2025,North,CUST2511,Corporate,Electronics,Monitor,3,799,0.1,2157.3,371.3
187,ORD00187,04-11-2025,West,,Home Office,Furniture,Desk,2,199,,398,80.26
188,ORD00188,20-08-2024,north,CUST1131,Corporate,Furniture,Phone,1,299,,299,42.39
189,ORD00189,03-05-2025,North,,Consumer,Electronics,Phone,3,,,897,65.28
190,ORD00190,08-10-2024,West,,Consumer,Electronics,Laptop,9,299,0,2691,650.87
191,ORD00191,15-10-2025,East,,Corporate,Furniture,Phone,7,999,0.05,6643.35,1123.59
192,ORD00192,22-01-2024,South,CUST2338,Corporate,Furniture,Headphones,6,999,0.15,5094.9,1400.53
193,ORD00193,27-06-2024,WEST,,Home Office,Electronics,Chair,6,199,,1194,137.28
194,ORD00194,04-09-2024,north,,Home Office,Electronics,Phone,8,199,0,1592,89.61
195,ORD00195,07-10-2025,East,,Consumer,Office Supplies,Desk,5,499,0.05,2370.25,399.07
196,ORD00196,06-10-2024,north,CUST2315,Home Office,Electronics,Desk,4,799,0.15,2716.6,333.12
197,ORD00197,06-03-2024,East,,Home Office,Furniture,Desk,4,99,0.05,376.2,60.72
198,ORD00198,13-04-2025,East,,Corporate,Electronics,Tablet,9,149,0,1341,252.28
199,ORD00199,26-09-2024,WEST,,Consumer,Furniture,Monitor,,149,0.15,253.3,37.83
200,ORD00200,18-10-2025,West,,Consumer,Office Supplies,Monitor,3,199,0,597,103.59
201,ORD00201,26-10-2025,South,,Home Office,Furniture,Desk,9,199,0.1,1611.9,263.38
202,ORD00202,10-12-2025,WEST,,Consumer,Office Supplies,Monitor,3,99,,297,53.35
203,ORD00203,13-04-2024,WEST,,Corporate,Electronics,Headphones,5,199,0.05,945.25,280.93
204,ORD00204,28-05-2025,East,CUST2966,Corporate,Furniture,Tablet,5,999,0.05,4745.25,377.33
205,ORD00205,24-05-2025,East,,Corporate,Office Supplies,Tablet,7,299,0.15,1779.05,199.17
206,ORD00206,16-11-2024,North,CUST2259,Consumer,Furniture,Monitor,2,299,0,598,94.72
207,ORD00207,09-05-2025,north,,Corporate,Furniture,Chair,8,,0.05,1512.4,371.84
208,ORD00208,22-11-2024,North,,Corporate,Office Supplies,Chair,6,999,0.15,5094.9,1236.03
209,ORD00209,04-03-2024,West,,Consumer,Furniture,Printer,10,999,0.15,8491.5,2311.1
210,ORD00210,11-04-2024,North,,Home Office,Furniture,Tablet,3,799,,2397,679.4
211,ORD00211,01-01-2025,WEST,,Home Office,Furniture,Printer,10,999,0.05,9490.5,2831.67
212,ORD00212,17-05-2025,north,,Consumer,Furniture,Laptop,7,999,,6993,2091.87
213,ORD00213,12-06-2025,West,,Home Office,Office Supplies,Headphones,4,199,0.05,756.2,212.11
214,ORD00214,07-03-2024,North,CUST1686,Consumer,Furniture,Tablet,5,99,0.05,470.25,139.72
215,ORD00215,30-03-2025,East,,Corporate,Office Supplies,Headphones,2,99,0.15,168.3,42.21
216,ORD00216,12-02-2024,North,CUST1766,Consumer,Electronics,Printer,5,999,0,4995,602.86
217,ORD00217,18-12-2024,north,CUST1081,Home Office,Electronics,Chair,7,,,693,104.78
218,ORD00218,04-06-2025,WEST,,Corporate,Furniture,Tablet,2,799,,1598,149.02
219,ORD00219,20-03-2025,WEST,CUST1550,Corporate,Furniture,Monitor,,149,0.05,990.85,220.03
220,ORD00220,01-06-2024,West,,Consumer,Office Supplies,Headphones,3,149,0,447,126.81
221,ORD00221,22-05-2025,East,,Consumer,Furniture,Desk,5,199,0.1,895.5,140.47
222,ORD00222,29-04-2024,West,,Home Office,Furniture,Tablet,2,499,0.15,848.3,49.07
223,ORD00223,16-12-2024,WEST,,Corporate,Electronics,Laptop,7,99,0.15,589.05,63.05
224,ORD00224,13-06-2025,South,,Consumer,Electronics,Desk,9,199,0,1791,307.76
225,ORD00225,11-06-2024,East,,Home Office,Furniture,Desk,9,299,0.1,2421.9,314.08
226,ORD00226,07-07-2025,East,,Home Office,Electronics,Headphones,8,199,,1592,255.35
227,ORD00227,03-12-2024,north,CUST2889,Home Office,Office Supplies,Monitor,10,499,,4990,703.53
228,ORD00228,03-06-2024,West,,Home Office,Furniture,Monitor,4,499,0.15,1696.6,331.14
229,ORD00229,05-11-2025,WEST,,Home Office,Office Supplies,Chair,6,499,,2994,252.72
230,ORD00230,24-12-2024,East,CUST1352,Home Office,Electronics,Chair,9,999,0,8991,750.2
231,ORD00231,16-09-2024,WEST,,Consumer,Electronics,Printer,3,149,0.1,402.3,99.13
232,ORD00232,27-03-2024,South,CUST1873,Corporate,Electronics,Phone,4,499,0.1,1796.4,164.58
233,ORD00233,15-10-2025,north,,Corporate,Office Supplies,Monitor,9,299,0.05,2556.45,756.5
234,ORD00234,07-11-2024,North,CUST1952,Corporate,Office Supplies,Chair,6,499,,2994,196.7
235,ORD00235,23-10-2025,East,CUST2095,Consumer,Furniture,Headphones,8,499,0.1,3592.8,966.68
236,ORD00236,24-02-2025,WEST,,Corporate,Furniture,Chair,4,,,396,55.33
237,ORD00237,25-09-2025,South,,Consumer,Furniture,Monitor,3,999,0,2997,165.29
238,ORD00238,31-08-2024,East,,Consumer,Electronics,Chair,9,99,,891,157.02
239,ORD00239,22-07-2024,North,CUST2366,Corporate,Electronics,Printer,1,99,,99,15.78
240,ORD00240,03-11-2025,West,CUST1330,Corporate,Electronics,Printer,8,299,0.15,2033.2,453.06
241,ORD00241,20-01-2024,north,CUST1274,Home Office,Office Supplies,Phone,9,199,0.15,1522.35,335.34
242,ORD00242,18-07-2024,South,,Corporate,Electronics,Chair,7,199,,1393,226.1
243,ORD00243,11-01-2025,East,,Home Office,Electronics,Desk,3,99,0.05,282.15,73.18
244,ORD00244,02-02-2025,West,,Home Office,Office Supplies,Tablet,3,199,0,597,161.28
245,ORD00245,27-06-2025,north,CUST1637,Consumer,Furniture,Headphones,7,999,0,6993,884.06
246,ORD00246,11-11-2025,West,CUST2009,Corporate,Office Supplies,Chair,7,149,0.1,938.7,130.09
247,ORD00247,27-08-2025,North,,Corporate,Office Supplies,Chair,5,199,0.15,845.75,58.22
248,ORD00248,15-01-2025,East,,Home Office,Electronics,Chair,9,99,0.15,757.35,60.22
249,ORD00249,25-10-2025,West,CUST1956,Home Office,Furniture,Laptop,1,199,,199,28.4
250,ORD00250,25-06-2025,South,,Consumer,Electronics,Printer,8,99,0.1,712.8,119.05
251,ORD00251,19-02-2025,WEST,CUST1679,Consumer,Electronics,Headphones,7,199,,1393,393.79
252,ORD00252,25-04-2025,East,,Consumer,Electronics,Tablet,5,299,0.15,1270.75,253.59
253,ORD00253,12-01-2024,East,,Consumer,Furniture,Desk,1,99,0.05,94.05,21.73
254,ORD00254,10-01-2025,West,CUST1856,Consumer,Electronics,Laptop,6,499,0.15,2544.9,199.43
255,ORD00255,06-01-2024,North,,Corporate,Electronics,Laptop,3,149,0.05,424.65,87.57
256,ORD00256,27-06-2025,north,CUST1252,Consumer,Furniture,Printer,2,149,,298,88.05
257,ORD00257,15-09-2024,North,CUST1702,Consumer,Office Supplies,Chair,9,299,0.15,2287.35,411.72
258,ORD00258,12-08-2024,north,,Home Office,Furniture,Printer,3,199,0.15,507.45,117.12
259,ORD00259,06-09-2024,South,,Home Office,Electronics,Headphones,7,999,0,6993,1222.31
260,ORD00260,09-02-2024,North,,Consumer,Furniture,Headphones,5,499,0.1,2245.5,388.43
261,ORD00261,21-06-2024,WEST,CUST1025,Home Office,Electronics,Headphones,7,999,0.1,6293.7,1416.56
262,ORD00262,26-03-2024,East,CUST1369,Consumer,Office Supplies,Monitor,6,99,,594,157.58
263,ORD00263,19-06-2024,East,,Corporate,Furniture,Phone,10,299,0.05,2840.5,159.21
264,ORD00264,27-12-2025,South,,Consumer,Furniture,Headphones,2,799,0.1,1438.2,202.06
265,ORD00265,18-03-2024,West,CUST2908,Consumer,Furniture,Phone,3,299,0.1,807.3,97.07
266,ORD00266,25-08-2024,East,CUST2107,Corporate,Electronics,Monitor,5,499,0.05,2370.25,523.43
267,ORD00267,21-02-2025,South,,Home Office,Office Supplies,Laptop,,99,0.05,282.15,69.59
268,ORD00268,22-01-2024,East,,Home Office,Electronics,Phone,5,149,0,745,78.68
269,ORD00269,13-01-2024,WEST,,Consumer,Electronics,Printer,1,149,0.15,126.65,12.32
270,ORD00270,02-12-2024,West,,Corporate,Office Supplies,Desk,7,99,0.05,658.35,77.89
271,ORD00271,01-08-2024,East,,Corporate,Electronics,Chair,7,499,0.1,3143.7,708.72
272,ORD00272,01-04-2025,north,,Corporate,Office Supplies,Phone,3,99,0.1,267.3,49.19
273,ORD00273,10-06-2024,WEST,CUST2381,Home Office,Office Supplies,Desk,9,199,0.1,1611.9,105.97
274,ORD00274,04-01-2024,West,,Corporate,Electronics,Laptop,3,499,0,1497,167.9
275,ORD00275,29-04-2025,East,,Corporate,Electronics,Chair,2,299,0.1,538.2,28.92
276,ORD00276,15-03-2025,WEST,,Home Office,Electronics,Headphones,4,149,,596,176.36
277,ORD00277,21-03-2024,South,CUST1017,Home Office,Furniture,Tablet,3,499,0.15,1272.45,245.77
